# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
15S_rRNA	15S_rRNA	15S_rRNA	rRNA	0	0	0	69	0	0	0	0	15	0	0	0	0	30	0	0	0	0	0	0	0	0	24
21S_rRNA	21S_rRNA	21S_rRNA	rRNA	0	0	0	90	0	0	0	0	6	0	0	0	0	66	0	0	0	0	0	0	0	0	18
AAC1	YMR056C	YMR056C	protein_coding	0	111	22	964	0	0	0	0	530	0	0	0	22	0	0	0	0	0	0	0	0	111	434
AAC3	YBR085W	YBR085W	protein_coding	0	125	24	630	0	0	0	0	217	0	0	0	24	0	0	0	0	0	0	0	0	125	413
AAD10	YJR155W	YJR155W	protein_coding	0	21	6	387	0	0	0	0	11	0	0	0	6	0	0	0	0	0	0	0	0	21	376
AAD14	YNL331C	YNL331C	protein_coding	0	20	6	454	0	0	0	0	55	0	0	0	6	0	0	0	0	0	0	0	0	20	399
AAD15	YOL165C	YOL165C	protein_coding	0	0	0	53	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	26
AAD16	YFL057C	YFL057C	protein_coding	0	27	10	585	0	0	0	0	221	0	0	0	10	0	0	0	0	0	0	0	0	27	364
AAD3	YCR107W	YCR107W	protein_coding	2	10	10	489	0	0	0	0	60	0	0	0	10	0	0	0	0	0	2	0	0	10	429
AAD4	YDL243C	YDL243C	protein_coding	1	41	18	199	0	0	0	0	102	1	0	0	18	0	0	0	1	0	0	0	1	40	97
AAD6	YFL056C	YFL056C	protein_coding	0	9	8	632	0	0	0	0	263	0	0	0	8	0	0	0	0	0	0	0	0	9	369
AAH1	YNL141W	YNL141W	protein_coding	0	118	36	958	0	0	0	0	690	0	0	0	36	0	0	0	0	0	0	0	0	118	268
